MxForce	Drift	Pressure	TOTEN   	Filename
0.0989	0.0012	  -71.43	-44.719797	200
0.0724	0.0012	  -20.42	-44.865305	250
0.0829	0.0012	  -12.86	-44.907507	300
0.0834	0.0012	   -9.98	-44.929003	350
0.0840	0.0012	   -8.89	-44.935476	400
0.0853	0.0012	   -8.90	-44.936616	450
0.0843	0.0012	   -9.00	-44.937657	500
0.0843	0.0012	   -8.80	-44.939556	550
0.0848	0.0012	   -8.54	-44.941102	600
0.0832	0.0012	   -8.40	-44.941580	650
0.0853	0.0012	   -8.39	-44.941641	700
0.0854	0.0012	   -8.43	-44.941427	750
0.0837	0.0012	   -8.42	-44.941267	800
0.0856	0.0012	   -8.44	-44.941183	850
0.0854	0.0012	   -8.40	-44.941201	900
0.0825	0.0012	   -8.38	-44.941273	950
0.0857	0.0012	   -8.37	-44.941285	1000
