MxForce	Drift	Pressure	TOTEN   	Filename
0.1312	0.0010	  -18.95	-22.274797	200
0.1031	0.0010	   -4.67	-22.352263	250
0.1116	0.0010	   -2.61	-22.372712	300
0.1133	0.0010	   -1.80	-22.383685	350
0.1136	0.0010	   -1.49	-22.386990	400
0.1146	0.0010	   -1.50	-22.387569	450
0.1140	0.0010	   -1.53	-22.388139	500
0.1141	0.0010	   -1.48	-22.389041	550
0.1143	0.0010	   -1.40	-22.389792	600
0.1146	0.0010	   -1.37	-22.390030	650
0.1148	0.0010	   -1.37	-22.390069	700
0.1149	0.0010	   -1.38	-22.389963	750
0.1149	0.0010	   -1.38	-22.389879	800
0.1151	0.0010	   -1.38	-22.389839	850
0.1151	0.0010	   -1.38	-22.389852	900
0.1150	0.0010	   -1.37	-22.389892	950
0.1149	0.0010	   -1.37	-22.389898	1000
