MxForce	Drift	Pressure	TOTEN   	Filename
0.8402	0.0000	    0.25	-20.755375	200
0.8811	0.0000	   61.55	-20.830370	250
0.8697	0.0000	   69.83	-20.849127	300
0.8830	0.0000	   73.57	-20.860200	350
0.8743	0.0000	   75.02	-20.863768	400
0.8816	0.0000	   75.00	-20.864495	450
0.8814	0.0000	   74.86	-20.864921	500
0.8819	0.0000	   75.10	-20.865664	550
0.8814	0.0000	   75.43	-20.866415	600
0.8813	0.0000	   75.58	-20.866715	650
0.8709	0.0000	   76.67	-20.866741	700
0.8811	0.0000	   75.54	-20.866648	750
0.8810	0.0000	   75.53	-20.866555	800
0.8809	0.0000	   75.54	-20.866520	850
0.8808	0.0000	   75.56	-20.866545	900
0.8810	0.0000	   75.58	-20.866589	950
0.8706	0.0000	   76.69	-20.866583	1000
