MxForce	Drift	Pressure	TOTEN   	Filename
1.0413	0.0000	   -3.06	-20.757925	200
1.0503	0.0000	   17.59	-20.835935	250
1.0426	0.0000	   20.72	-20.855348	300
1.0468	0.0000	   21.97	-20.866472	350
1.0458	0.0000	   22.44	-20.869951	400
1.0456	0.0000	   22.44	-20.870626	450
1.0454	0.0000	   22.40	-20.871126	500
1.0439	0.0000	   22.48	-20.871960	550
1.0481	0.0000	   22.59	-20.872612	600
1.0443	0.0000	   22.64	-20.872978	650
1.0484	0.0000	   22.63	-20.872947	700
1.0455	0.0000	   22.62	-20.872938	750
1.0441	0.0000	   22.63	-20.872834	800
1.0445	0.0000	   22.63	-20.872798	850
1.0452	0.0000	   22.63	-20.872827	900
1.0452	0.0000	   22.64	-20.872866	950
1.0451	0.0000	   22.64	-20.872872	1000
