MxForce	Drift	Pressure	TOTEN   	Filename
1.0694	0.0000	   51.06	-20.869278	2
1.0501	0.0000	   40.78	-20.873905	4
1.0485	0.0000	   34.01	-20.873834	6
1.0495	0.0000	   29.15	-20.873641	8
1.0470	0.0000	   25.55	-20.873475	10
1.0478	0.0000	   22.71	-20.873338	12
1.0369	0.0000	   20.34	-20.873271	14
1.0376	0.0000	   18.43	-20.873199	16
1.0493	0.0000	   17.03	-20.873141	18
1.0364	0.0000	   15.52	-20.873104	20
1.0498	0.0000	   14.59	-20.873062	22
1.0501	0.0000	   13.62	-20.873026	24
1.0503	0.0000	   12.77	-20.872980	26
1.0559	0.0000	   12.08	-20.872796	28
1.0507	0.0000	   11.35	-20.872847	30
