MxForce	Drift	Pressure	TOTEN   	Filename
0.0851	0.0012	  -69.30	-43.388510	200
0.0585	0.0012	  -18.29	-43.534018	250
0.0690	0.0012	  -10.73	-43.576220	300
0.0696	0.0012	   -7.85	-43.597716	350
0.0701	0.0012	   -6.75	-43.604189	400
0.0714	0.0012	   -6.77	-43.605329	450
0.0704	0.0012	   -6.87	-43.606370	500
0.0704	0.0012	   -6.67	-43.608269	550
0.0709	0.0012	   -6.41	-43.609815	600
0.0694	0.0012	   -6.27	-43.610293	650
0.0714	0.0012	   -6.26	-43.610354	700
0.0715	0.0012	   -6.29	-43.610140	750
0.0698	0.0012	   -6.28	-43.609980	800
0.0717	0.0012	   -6.31	-43.609896	850
0.0715	0.0012	   -6.27	-43.609914	900
0.0686	0.0012	   -6.25	-43.609986	950
0.0718	0.0012	   -6.24	-43.609998	1000
