MxForce	Drift	Pressure	TOTEN   	Filename
0.0901	0.0000	  -41.89	-43.370618	200
0.0651	0.0000	  -11.03	-43.528065	250
0.0706	0.0000	   -6.48	-43.569695	300
0.0705	0.0000	   -4.76	-43.591405	350
0.0713	0.0000	   -4.10	-43.598000	400
0.0735	0.0000	   -4.05	-43.599000	450
0.0721	0.0000	   -4.17	-43.600222	500
0.0712	0.0000	   -4.05	-43.602115	550
0.0719	0.0000	   -3.94	-43.603567	600
0.0730	0.0000	   -3.83	-43.604132	650
0.0726	0.0000	   -3.83	-43.604202	700
0.0728	0.0000	   -3.85	-43.603989	750
0.0733	0.0000	   -3.86	-43.603820	800
0.0724	0.0000	   -3.93	-43.603663	850
0.0734	0.0000	   -3.84	-43.603759	900
0.0715	0.0000	   -3.83	-43.603833	950
0.0717	0.0000	   -3.80	-43.603836	1000
