MxForce	Drift	Pressure	TOTEN   	Filename
0.0615	0.0000	  -16.27	-43.534889	2
0.0602	0.0000	  -14.57	-43.533130	4
0.0582	0.0000	  -12.92	-43.531605	6
0.0680	0.0000	  -12.08	-43.533173	8
0.0670	0.0000	  -11.17	-43.533126	10
0.0601	0.0000	  -10.00	-43.532947	12
0.0621	0.0000	   -9.53	-43.534663	14
0.0593	0.0000	   -8.93	-43.533243	16
0.0608	0.0000	   -8.38	-43.532891	18
0.0609	0.0000	   -7.76	-43.531250	20
0.0592	0.0000	   -7.50	-43.531686	22
0.0670	0.0000	   -7.15	-43.532465	24
0.0661	0.0000	   -6.75	-43.532213	26
0.0691	0.0000	   -6.48	-43.532133	28
0.0616	0.0000	   -6.04	-43.530644	30
