MxForce	Drift	Pressure	TOTEN   	Filename
0.1030	0.0010	   -7.55	-22.356076	2
0.1018	0.0010	   -6.76	-22.354862	4
0.1025	0.0010	   -5.94	-22.354233	6
0.1064	0.0010	   -5.59	-22.354568	8
0.1071	0.0010	   -5.17	-22.354519	10
0.1038	0.0010	   -4.59	-22.354682	12
0.1035	0.0010	   -4.41	-22.355052	14
0.1009	0.0010	   -4.13	-22.354285	16
0.1005	0.0010	   -3.87	-22.354081	18
0.1040	0.0011	   -3.56	-22.353866	20
0.1006	0.0010	   -3.47	-22.353497	22
0.1061	0.0010	   -3.31	-22.354032	24
0.1052	0.0010	   -3.12	-22.353803	26
0.1073	0.0010	   -3.00	-22.353784	28
0.1049	0.0011	   -2.77	-22.353696	30
